iter	Passed	Remaining
781	2806	782
782	2808	778
783	2810	774
784	2815	771
785	2817	767
786	2819	763
787	2820	758
788	2822	754
789	2824	750
790	2825	746
791	2830	743
792	2831	739
793	2833	735
794	2835	731
795	2836	726
796	2838	722
797	2842	719
798	2843	715
799	2845	711
800	2848	707
801	2849	703
802	2851	699
803	2854	695
804	2857	692
805	2859	688
806	2860	684
807	2862	680
808	2863	676
809	2865	672
810	2866	668
811	2869	664
812	2877	661
813	2878	657
814	2882	654
815	2884	650
816	2888	647
817	2890	643
818	2892	639
819	2894	635
820	2897	631
821	2902	628
822	2904	624
823	2905	620
824	2907	616
825	2908	612
826	2910	608
827	2916	605
828	2918	602
829	2920	598
830	2921	594
831	2927	591
832	2929	587
833	2931	583
834	2933	579
835	2934	575
836	2936	571
837	2942	568
838	2947	565
839	2949	561
840	2951	557
841	2955	554
842	2957	550
843	2958	546
844	2979	546
845	2980	542
846	2994	540
847	2995	536
848	2997	533
849	2998	529
850	3005	526
851	3009	522
852	3011	518
853	3012	515
854	3015	511
855	3024	508
856	3025	504
857	3027	501
858	3029	497
859	3033	493
860	3061	494
861	3067	491
862	3069	487
863	3071	483
864	3073	479
865	3086	477
866	3087	473
867	3089	469
868	3091	465
869	3092	462
870	3099	459
871	3102	455
872	3105	451
873	3109	448
874	3124	446
875	3126	442
876	3131	439
877	3134	435
878	3136	431
879	3138	427
880	3140	424
881	3150	421
882	3151	417
883	3154	413
884	3157	410
885	3159	406
886	3162	402
887	3164	399
888	3175	396
889	3177	392
890	3179	388
891	3181	385
892	3182	381
893	3184	377
894	3186	373
895	3193	370
896	3195	366
897	3197	363
898	3198	359
899	3203	355
900	3206	352
901	3213	349
902	3214	345
903	3216	341
904	3219	337
905	3221	334
906	3225	330
907	3227	327
908	3229	323
909	3231	319
910	3233	315
911	3235	312
912	3237	308
913	3239	304
914	3241	301
915	3242	297
916	3244	293
917	3246	290
918	3248	286
919	3253	282
920	3255	279
921	3256	275
922	3258	271
923	3261	268
924	3263	264
925	3265	260
926	3268	257
927	3270	253
928	3271	250
929	3272	246
930	3274	242
931	3276	239
932	3278	235
933	3279	231
934	3281	228
935	3282	224
936	3284	220
937	3285	217
938	3286	213
939	3287	209
940	3292	206
941	3293	202
942	3295	199
943	3296	195
944	3298	191
945	3299	188
946	3301	184
947	3306	181
948	3308	177
949	3310	174
950	3312	170
951	3313	167
952	3315	163
953	3316	159
954	3321	156
955	3323	152
956	3324	149
957	3326	145
958	3327	142
959	3329	138
960	3331	135
961	3332	131
962	3337	128
963	3339	124
964	3341	121
965	3342	117
966	3343	114
967	3345	110
968	3352	107
969	3359	103
970	3374	100
971	3377	97
972	3382	93
973	3384	90
974	3386	86
975	3388	83
976	3390	79
977	3392	76
978	3396	72
979	3398	69
980	3401	65
981	3403	62
982	3404	58
983	3409	55
984	3414	52
985	3416	48
986	3426	45
987	3428	41
988	3430	38
989	3433	34
990	3434	31
991	3437	27
992	3441	24
993	3443	20
994	3445	17
995	3453	13
996	3456	10
997	3459	6
998	3462	3
999	3464	0
